Animal_ID,RAWM_D1_Trial 1_Errors,RAWM_D1_Trial 2_Errors,RAWM_D1_Trial 3_Errors,RAWM_D1_Trial 4_Errors,RAWM_D1_Trial 5_Errors,RAWM_D1_Trial 6_Errors,RAWM_D1_Trial1_duration,RAWM_D1_Trial2_duration,RAWM_D1_Trial3_duration,RAWM_D1_Trial4_duration,RAWM_D1_Trial5_duration,RAWM_D1_Trial6_duration,RAWM_D1_Trial1_velocity,RAWM_D1_Trial2_velocity,RAWM_D1_Trial3_velocity,RAWM_D1_Trial4_velocity,RAWM_D1_Trial5_velocity,RAWM_D1_Trial6_velocity,RAWM_D1_Block1_Errors,RAWM_D1_Block1_duration,RAWM_D1_Block1_velocity,RAWM_D1_Block2_Errors,RAWM_D1_Block2_duration,RAWM_D1_Block2_velocity,RAWM_D1_TotAvg_Errors,RAWM_D1_TotAvg_duration,RAWM_D1_TotAvg_velocity
389_42week,9,1,0,10,0,1,42,27.84,3.6,41.72,7.84,7.92,17.6547,12.3206,11.4455,16.9148,13.5726,11.7436,3.333333333,24.48,13.80693333,3.666666667,19.16,14.077,3.5,21.82,13.94196667
390_42week,5,1,2,3,2,1,21.6,9.52,12.88,10.72,9.24,8.24,15.8422,15.8932,15.055,15.6032,14.0345,14.5388,2.666666667,14.66666667,15.5968,2,9.4,14.7255,2.333333333,12.03333333,15.16115
391_42week,6,8,6,0,3,2,26.6,25.56,27.2,2.72,10.2,7.12,16.3922,17.1739,15.5479,12.2219,14.9389,14.6171,6.666666667,26.45333333,16.37133333,1.666666667,6.68,13.92596667,4.166666667,16.56666667,15.14865
392_42week,6,6,3,3,3,7,41.24,35.96,20,11.04,19.92,31.16,14.0762,13.7136,12.1838,11.5078,13.1999,14.0583,5,32.4,13.32453333,4.333333333,20.70666667,12.922,4.666666667,26.55333333,13.12326667
393_42week,8,9,1,1,7,4,42.16,39.08,22.68,7.48,28.28,11.12,15.7382,13.5442,11.0796,11.5802,16.5105,16.2266,6,34.64,13.454,4,15.62666667,14.77243333,5,25.13333333,14.11321667
394_42week,8,10,7,5,7,5,45.36,34.08,30.24,22.88,30.4,46.36,16.6213,17.6522,15.255,12.0755,12.682,12.8292,8.333333333,36.56,16.5095,5.666666667,33.21333333,12.5289,7,34.88666667,14.5192
395_42week,2,3,2,3,2,1,9.04,10.76,7.92,14.28,9.64,5.84,17.0428,15.0211,11.9346,14.1211,13.2948,14.001,2.333333333,9.24,14.66616667,2,9.92,13.80563333,2.166666667,9.58,14.2359
396_42week,7,2,0,3,1,3,36.88,7.36,1.96,25.64,5.6,21.88,14.5545,13.7329,9.5167,13.5475,15.0008,13.1351,3,15.4,12.60136667,2.333333333,17.70666667,13.89446667,2.666666667,16.55333333,13.24791667
397_42week,7,2,5,1,6,1,39.52,8.12,30.68,7.88,26.08,4.88,17.1695,12.2304,11.4205,12.275,14.2014,9.77014,4.666666667,26.10666667,13.6068,2.666666667,12.94666667,12.08218,3.666666667,19.52666667,12.84449
398_42week,9,7,5,0,2,3,36.72,28.36,21.48,1.52,9.12,16.72,19.4907,18.3551,16.8833,13.6811,16.4447,13.9357,7,28.85333333,18.24303333,1.666666667,9.12,14.68716667,4.333333333,18.98666667,16.4651
399_42week,10,3,8,1,5,2,32.56,39.28,41.16,28.32,59.2,14.96,14.3485,11.5578,12.7236,10.6144,3.59464,10.2891,7,37.66666667,12.87663333,2.666666667,34.16,8.166046667,4.833333333,35.91333333,10.52134
400_42week,8,6,4,2,1,0,44.6,25.36,20.76,9.32,7.2,2.44,17.203,18.4471,14.3658,15.3955,13.7046,12.277,6,30.24,16.67196667,1,6.32,13.79236667,3.5,18.28,15.23216667
401_42week,9,4,9,4,3,5,35,17,37.4,24.24,13.24,19.28,18.5816,17.3231,16.8794,15.9733,15.0421,15.5884,7.333333333,29.8,17.5947,4,18.92,15.5346,5.666666667,24.36,16.56465
